task,split,hf_subset,GritLM/GritLM-7B(13f00a0e36500c80ce12870ea513846a066004af),intfloat/multilingual-e5-base(d13f1b27baf31030b7fd040960d60d909913633f),intfloat/multilingual-e5-large(4dc6d853a804b9c8886ede6dda8a073b7dc08a81),intfloat/multilingual-e5-large-instruct(baa7be480a7de1539afce709c8f13f833a510e0a),intfloat/multilingual-e5-small(e4ce9877abf3edfe10b0d82785e83bdcb973e22e),sentence-transformers/LaBSE(e34fab64a3011d2176c99545a93d5cbddc9a91b7),sentence-transformers/all-MiniLM-L12-v2(a05860a77cef7b37e0048a7864658139bc18a854),sentence-transformers/all-MiniLM-L12-v2(no_revision_available),sentence-transformers/all-MiniLM-L6-v2(8b3219a92973c328a8e22fadcfa821b5dc75636a),sentence-transformers/all-mpnet-base-v2(84f2bcc00d77236f9e89c8a360a00fb1139bf47d),sentence-transformers/all-mpnet-base-v2(no_revision_available),sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2(bf3bf13ab40c3157080a7ab344c831b9ad18b5eb),sentence-transformers/paraphrase-multilingual-mpnet-base-v2(79f2382ceacceacdf38563d7c5d16b9ff8d725d6)
MultilingualSentimentClassification,test,cmn,78.5,78.1,83.3,91.7,72.9,70.2,53.4,,56.0,48.8,,59.6,71.2
MultilingualSentimentClassification,test,cym,61.7,58.6,61.8,73.2,56.8,63.0,52.3,,51.7,51.7,,52.1,52.0
MultilingualSentimentClassification,test,deu,72.2,75.6,79.7,79.0,69.7,64.7,55.2,,54.5,52.7,,60.4,68.8
MultilingualSentimentClassification,test,dza,71.7,68.2,72.9,75.9,62.0,67.9,56.8,,59.0,59.0,,62.4,65.4
MultilingualSentimentClassification,test,ell,82.8,84.1,85.0,85.9,83.2,82.0,65.5,,65.8,66.7,,79.3,83.4
MultilingualSentimentClassification,test,eng,87.1,85.5,88.4,90.1,78.1,61.8,65.3,,61.9,77.8,,71.0,78.5
MultilingualSentimentClassification,test,eus,61.4,75.2,84.4,83.6,73.9,78.2,57.7,,61.2,61.5,,57.2,63.4
MultilingualSentimentClassification,test,fas,68.6,75.7,76.7,78.3,75.1,72.4,55.7,,54.9,55.0,,73.9,75.3
MultilingualSentimentClassification,test,fin,70.4,76.6,82.4,86.1,73.0,76.3,61.5,,59.4,62.8,,78.5,82.3
MultilingualSentimentClassification,test,heb,76.8,78.5,80.9,82.2,76.5,77.8,69.2,,70.7,71.0,,76.4,79.5
MultilingualSentimentClassification,test,hrv,86.2,85.8,91.5,94.3,82.1,80.6,64.8,,62.9,60.1,,75.7,80.2
MultilingualSentimentClassification,test,ind,84.9,83.9,85.0,90.9,82.9,83.9,71.8,,71.8,71.9,,84.8,87.1
MultilingualSentimentClassification,test,jpn,79.9,75.9,81.6,87.4,77.8,71.4,56.2,,57.6,56.0,,68.4,67.2
MultilingualSentimentClassification,test,kor,73.0,68.4,73.8,77.4,67.5,63.7,52.7,,51.7,52.4,,61.5,70.3
MultilingualSentimentClassification,test,mlt,55.4,59.9,63.3,61.1,58.0,61.6,54.9,,54.8,57.0,,55.2,54.7
MultilingualSentimentClassification,test,nor,69.2,75.0,80.6,78.9,70.4,62.4,51.3,,52.7,55.3,,69.2,73.0
MultilingualSentimentClassification,test,pol,79.8,84.0,93.5,97.7,83.4,78.5,57.3,,59.1,57.9,,74.5,78.9
MultilingualSentimentClassification,test,rus,74.0,77.5,79.8,79.2,79.5,75.3,52.9,,51.5,56.6,,74.0,71.9
MultilingualSentimentClassification,test,slk,86.3,85.0,88.1,94.0,82.1,84.2,69.0,,67.8,66.4,,89.0,89.7
MultilingualSentimentClassification,test,spa,81.2,90.1,92.5,94.5,89.6,79.6,63.1,,59.1,65.2,,85.9,89.0
MultilingualSentimentClassification,test,tha,68.1,71.7,72.5,75.6,70.2,66.6,56.3,,55.5,55.4,,71.6,71.0
MultilingualSentimentClassification,test,tur,67.1,76.4,80.6,85.6,72.5,68.3,51.6,,52.0,51.2,,77.3,78.5
MultilingualSentimentClassification,test,uig,69.6,78.0,79.0,81.1,79.6,80.2,56.1,,56.1,58.7,,65.1,79.2
MultilingualSentimentClassification,test,urd,55.2,61.5,65.0,64.3,60.4,57.3,49.5,,50.8,51.3,,59.6,63.2
MultilingualSentimentClassification,test,vie,62.9,68.8,74.2,80.2,62.9,64.0,55.2,,54.3,54.0,,65.1,68.5
MultilingualSentimentClassification,test,zho,67.8,71.4,71.8,78.4,65.7,68.9,54.6,,56.8,54.0,,68.5,69.2
MyanmarNews,train,default,49.1,65.4,67.9,80.9,70.8,68.1,31.3,,,30.9,,40.9,45.1
NYSJudicialEthicsLegalBenchClassification,test,default,52.1,47.3,47.6,46.9,51.4,52.7,45.9,,45.2,45.5,,49.3,51.7
NaijaSenti,test,hau,52.3,49.6,50.8,53.2,48.0,50.3,44.4,,43.6,46.7,,41.5,47.8
NaijaSenti,test,ibo,46.1,42.6,44.2,47.5,43.1,46.7,44.4,,43.8,42.3,,40.4,41.8
NaijaSenti,test,pcm,43.6,40.1,40.4,41.5,40.8,36.8,34.3,,36.8,37.2,,36.7,36.9
NaijaSenti,test,yor,39.6,43.1,44.9,42.2,39.7,41.6,36.7,,38.0,35.1,,33.7,33.6
NepaliNewsClassification,train,default,92.7,89.4,88.5,96.9,90.3,86.8,51.4,,,53.7,,77.1,93.7
NewsClassification,test,default,81.9,81.1,81.0,88.3,79.6,71.6,75.6,,75.6,75.7,,68.6,73.3
NoRecClassification,test,default,52.1,53.7,58.4,64.6,50.1,45.4,37.7,,,38.3,,46.7,50.3
NordicLangClassification,test,default,63.6,75.9,80.2,82.4,72.2,35.4,54.2,,54.7,50.1,,42.5,41.6
NorwegianParliamentClassification,test,default,57.3,55.9,56.5,57.4,56.3,53.6,53.6,,,54.8,,53.8,53.3
NorwegianParliamentClassification,validation,default,56.7,55.5,56.1,57.1,56.1,54.0,54.3,,,55.3,,53.5,53.6
NusaParagraphEmotionClassification,test,bew,50.9,41.3,48.2,,39.8,43.0,21.8,,,22.9,,33.7,42.4
NusaParagraphEmotionClassification,test,btk,36.4,33.5,32.6,,31.8,31.0,24.2,,,28.1,,27.1,26.5
NusaParagraphEmotionClassification,test,bug,40.5,33.3,33.6,,31.7,35.7,25.7,,,23.5,,26.6,28.0
NusaParagraphEmotionClassification,test,jav,41.7,39.2,46.4,,38.5,42.4,25.3,,,21.8,,22.4,29.3
NusaParagraphEmotionClassification,test,mad,32.3,29.2,29.8,,31.2,30.6,23.2,,,23.0,,21.2,21.9
NusaParagraphEmotionClassification,test,mak,38.1,33.0,35.6,,32.6,32.3,22.3,,,26.1,,25.8,25.1
NusaParagraphEmotionClassification,test,min,49.0,41.5,48.8,,40.7,40.7,22.4,,,24.3,,31.2,35.6
NusaParagraphEmotionClassification,test,mui,54.2,48.8,52.3,,46.6,50.7,30.4,,,30.5,,43.0,54.0
NusaParagraphEmotionClassification,test,rej,49.4,42.5,43.5,,45.3,42.0,30.3,,,33.0,,27.6,27.3
NusaParagraphEmotionClassification,test,sun,41.8,40.7,45.7,,37.4,40.2,21.7,,,23.2,,22.2,28.7
NusaParagraphTopicClassification,test,bew,74.0,66.6,71.7,80.3,66.3,67.6,,,,,,60.9,67.4
NusaParagraphTopicClassification,test,btk,67.8,62.3,62.9,73.2,61.0,62.9,,,,,,49.6,53.6
NusaParagraphTopicClassification,test,bug,55.4,43.8,45.3,71.9,42.8,49.6,,,,,,51.8,55.2
NusaParagraphTopicClassification,test,jav,73.1,67.6,70.8,80.2,65.1,67.1,,,,,,48.5,61.8
NusaParagraphTopicClassification,test,mad,69.3,64.0,66.9,72.7,59.1,62.3,,,,,,42.9,50.1
NusaParagraphTopicClassification,test,mak,71.8,66.7,67.9,74.9,63.5,62.1,,,,,,48.9,53.0
NusaParagraphTopicClassification,test,min,74.9,69.2,71.8,80.3,67.0,67.5,,,,,,59.3,67.3
NusaParagraphTopicClassification,test,mui,81.1,79.5,80.6,85.4,77.8,76.3,,,,,,71.0,78.6
NusaParagraphTopicClassification,test,rej,81.7,69.1,68.3,85.7,65.6,74.3,,,,,,65.1,75.5
NusaParagraphTopicClassification,test,sun,76.4,72.0,72.2,81.9,69.9,70.3,,,,,,53.8,68.0
NusaX-senti,test,ace,64.6,69.0,71.2,66.3,64.1,62.0,54.5,,53.7,53.1,,54.6,57.2
NusaX-senti,test,ban,64.8,66.4,70.9,67.2,61.8,63.8,49.1,,49.0,53.9,,53.0,58.4
NusaX-senti,test,bbc,61.4,59.7,60.1,58.7,58.7,58.4,56.0,,57.0,54.7,,51.7,49.5
NusaX-senti,test,bjn,67.6,70.6,72.4,74.8,65.7,64.6,53.8,,54.8,53.8,,58.7,61.0
NusaX-senti,test,bug,61.4,60.1,64.0,59.8,59.7,57.5,57.2,,55.9,53.1,,49.8,50.8
NusaX-senti,test,eng,79.6,84.4,84.6,87.1,82.3,73.6,66.9,,68.2,70.8,,74.9,78.8
NusaX-senti,test,ind,77.2,72.3,73.7,85.7,71.9,74.2,55.3,,55.1,53.2,,74.8,80.0
NusaX-senti,test,jav,69.0,73.5,76.4,78.3,69.3,70.1,56.4,,52.6,55.5,,56.9,61.4
NusaX-senti,test,mad,63.5,63.0,63.2,59.7,62.0,61.0,50.3,,53.0,53.6,,51.6,54.9
NusaX-senti,test,min,69.7,72.4,73.6,74.0,66.5,65.8,54.2,,54.6,54.4,,59.8,66.2
NusaX-senti,test,nij,62.1,61.7,61.7,58.2,58.4,58.1,51.1,,51.2,51.8,,51.9,56.8
NusaX-senti,test,sun,68.0,71.7,75.0,73.5,67.4,70.6,53.9,,53.8,55.3,,50.8,58.2
OPP115DataRetentionLegalBenchClassification,test,default,67.0,63.6,70.5,55.7,65.9,72.7,65.9,,61.4,60.2,,68.2,69.3
OPP115DataSecurityLegalBenchClassification,test,default,73.2,67.2,69.3,84.8,65.4,65.3,78.7,,76.8,73.6,,78.8,82.9
OPP115DoNotTrackLegalBenchClassification,test,default,90.9,90.0,90.0,90.0,89.1,90.9,95.5,,95.5,95.5,,93.6,93.6
OPP115FirstPartyCollectionUseLegalBenchClassification,test,default,75.7,68.5,71.2,68.9,69.2,68.4,70.0,,71.7,69.6,,69.8,68.6
OPP115InternationalAndSpecificAudiencesLegalBenchClassification,test,default,62.8,74.7,75.7,68.4,73.7,78.7,77.2,,80.5,77.7,,77.1,74.8
OPP115PolicyChangeLegalBenchClassification,test,default,83.3,82.8,85.4,86.8,84.2,87.5,83.3,,84.9,83.3,,87.9,85.8
OPP115ThirdPartySharingCollectionLegalBenchClassification,test,default,64.0,65.1,65.6,67.9,65.6,66.5,70.3,,70.1,69.8,,63.9,64.7
OPP115UserAccessEditAndDeletionLegalBenchClassification,test,default,69.3,72.3,70.3,63.2,67.7,74.7,77.7,,77.1,81.4,,71.0,78.4
OPP115UserChoiceControlLegalBenchClassification,test,default,78.0,74.5,79.0,79.4,75.1,76.4,79.6,,78.6,82.1,,75.5,79.2
OdiaNewsClassification,test,default,59.6,77.3,80.0,84.5,78.3,76.9,53.0,,,53.8,,70.1,75.7
OnlineShopping,test,default,87.0,88.7,90.4,92.6,88.7,85.6,,58.6,,56.9,,84.9,87.8
OnlineStoreReviewSentimentClassification,train,default,33.5,36.5,36.4,34.7,36.0,34.6,28.2,,29.2,28.8,,32.2,31.8
OralArgumentQuestionPurposeLegalBenchClassification,test,default,20.5,22.8,22.1,22.1,23.1,24.4,14.4,,17.6,17.9,,17.6,17.0
OverrulingLegalBenchClassification,test,default,87.9,78.8,77.9,86.4,82.8,78.1,77.3,,71.6,80.0,,72.5,77.0
PAC,test,default,68.1,70.9,70.3,65.6,70.5,68.1,59.5,,,,62.1,65.7,63.8
PROALegalBenchClassification,test,default,49.5,49.5,49.5,76.8,49.5,49.5,49.5,,49.5,49.5,,72.6,61.1
PatentClassification,test,default,38.7,36.5,39.2,40.0,34.2,31.9,34.0,,36.0,40.5,,28.9,30.6
PersianFoodSentimentClassification,test,default,67.9,75.1,76.3,78.1,74.2,72.1,55.4,,54.9,54.1,,73.5,74.7
PersianFoodSentimentClassification,validation,default,69.6,75.4,76.1,78.0,75.0,72.5,55.3,,54.6,54.7,,73.3,74.9
PersonalJurisdictionLegalBenchClassification,test,default,52.0,52.0,52.0,52.0,52.0,56.0,52.0,,52.0,52.0,,56.0,52.0
PoemSentimentClassification,test,default,52.5,47.0,50.0,53.6,43.4,48.1,45.7,,47.2,42.2,,46.7,50.5
PoemSentimentClassification,validation,default,51.0,46.3,49.1,55.1,44.2,48.2,47.0,,44.3,46.4,,45.0,49.1
PolEmo2.0-IN,test,default,66.1,67.6,77.1,84.9,67.3,63.9,38.3,,,41.6,,57.8,62.7
PolEmo2.0-OUT,test,default,32.9,43.9,53.5,61.9,39.2,44.8,23.0,,,25.0,,28.7,19.9
PunjabiNewsClassification,test,default,61.9,80.7,80.7,83.2,78.9,77.3,56.7,,,59.4,,68.7,80.2
RestaurantReviewSentimentClassification,train,default,71.4,,71.5,76.7,62.3,62.2,49.7,,49.7,49.8,,60.4,68.7
RomanianReviewsSentiment,test,default,49.0,51.1,54.0,58.6,45.8,44.9,35.5,,,,35.6,44.8,50.6
RomanianSentimentClassification,test,default,77.9,71.0,73.0,86.6,62.9,62.5,52.0,,,52.1,,66.3,67.7
RuReviewsClassification,test,default,61.4,63.0,65.3,68.1,61.2,58.0,42.5,,,42.3,,58.9,62.3
RuSciBenchGRNTIClassification,test,default,58.9,56.3,58.2,64.4,55.0,53.0,10.5,,,13.3,,53.2,56.0
RuSciBenchOECDClassification,test,default,45.8,42.7,43.9,50.4,41.7,40.5,8.3,,,10.6,,41.4,44.1
SCDBPAccountabilityLegalBenchClassification,test,default,62.8,68.3,63.6,58.3,58.0,45.6,31.7,,49.3,52.2,,38.0,45.4
SCDBPAuditsLegalBenchClassification,test,default,66.8,62.0,58.0,65.4,48.3,55.9,48.3,,46.4,56.2,,53.3,53.0
SCDBPCertificationLegalBenchClassification,test,default,43.7,58.5,56.6,46.3,52.6,44.4,47.6,,44.4,55.3,,43.4,44.4
SCDBPTrainingLegalBenchClassification,test,default,58.3,57.0,57.8,63.6,45.9,54.1,39.1,,44.1,53.8,,49.3,51.5
SCDBPVerificationLegalBenchClassification,test,default,59.4,56.5,57.3,58.3,58.8,58.8,49.6,,52.0,50.7,,51.2,55.9
SCDDAccountabilityLegalBenchClassification,test,default,68.8,66.7,61.1,69.0,61.4,64.3,32.0,,56.1,51.1,,47.9,45.8
SCDDAuditsLegalBenchClassification,test,default,78.1,81.8,73.6,78.6,71.5,71.8,52.8,,69.4,80.5,,36.9,48.0
SCDDCertificationLegalBenchClassification,test,default,68.8,71.2,59.5,69.6,62.7,66.4,23.5,,49.7,55.0,,35.4,36.0
SCDDTrainingLegalBenchClassification,test,default,62.5,59.1,56.2,60.2,49.1,38.5,29.0,,38.5,62.0,,33.5,35.4
SCDDVerificationLegalBenchClassification,test,default,60.2,60.7,64.4,59.1,69.7,71.8,60.4,,67.5,62.5,,55.4,54.9
SanskritShlokasClassification,train,default,71.7,74.8,75.4,68.5,80.4,66.2,60.8,,,67.8,,61.1,51.0
SanskritShlokasClassification,validation,default,70.0,75.4,73.9,68.1,78.4,61.5,60.0,,,65.4,,65.8,51.6
ScalaClassification,test,Danish,50.5,51.0,51.6,,50.8,50.6,50.0,,,49.9,,50.1,50.0
ScalaClassification,test,Norwegian_b,50.1,50.9,51.7,,50.7,50.8,50.3,,,50.3,,50.2,49.9
ScalaClassification,test,Norwegian_n,50.0,50.6,51.2,,50.3,50.2,50.2,,,50.0,,50.1,50.0
ScalaClassification,test,Swedish,50.6,51.2,51.8,,50.9,50.6,50.1,,,50.1,,50.1,50.2
SentimentAnalysisHindi,train,default,55.3,64.6,64.2,60.1,62.6,53.4,39.4,,37.9,37.8,,58.6,60.5
SinhalaNewsClassification,train,default,56.4,65.8,66.8,78.0,68.1,66.1,,38.6,,40.2,,49.4,71.0
SinhalaNewsSourceClassification,train,default,25.4,34.2,35.9,34.6,33.3,33.6,19.0,,,18.6,,28.7,30.7
SiswatiNewsClassification,train,default,59.9,47.0,53.5,78.9,49.4,64.2,54.6,,,55.0,,67.4,59.7
SlovakMovieReviewSentimentClassification,test,default,76.2,64.6,74.4,85.1,60.7,61.8,54.9,,,,54.9,63.2,69.6
SpanishNewsClassification,train,default,88.1,87.5,87.7,89.8,87.4,85.2,69.6,,,80.5,,80.6,83.8
SpanishSentimentClassification,test,default,81.2,90.1,92.5,94.5,89.6,79.6,63.1,,,65.2,,85.9,89.0
SpanishSentimentClassification,validation,default,79.6,89.5,92.7,94.7,88.6,80.1,63.1,,,65.9,,86.3,89.9
SweRecClassification,test,default,74.9,78.2,81.5,84.8,75.2,67.4,51.0,,,52.6,,66.5,71.3
SwedishSentimentClassification,test,default,92.1,93.4,95.1,96.5,91.2,85.3,68.3,,,,69.9,89.8,91.7
SwedishSentimentClassification,validation,default,92.7,93.6,95.3,96.3,90.9,85.5,69.4,,,,70.6,89.9,92.5
SwissJudgementClassification,test,de,53.1,54.7,47.5,54.5,48.9,54.0,52.6,,52.6,53.6,,52.4,53.6
SwissJudgementClassification,test,fr,57.3,56.0,56.0,57.5,55.1,55.3,51.9,,53.3,57.7,,51.8,52.0
SwissJudgementClassification,test,it,58.9,58.7,57.4,55.1,57.8,55.8,60.1,,57.7,55.2,,52.8,53.3
TNews,test,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
TNews,validation,default,49.9,47.5,48.8,49.9,46.6,46.0,20.4,,,,21.1,39.2,43.7
TamilNewsClassification,test,default,29.7,39.2,42.5,51.7,35.8,36.5,18.1,,,18.8,,27.8,34.3
TelemarketingSalesRuleLegalBenchClassification,test,default,55.3,66.0,61.7,51.1,57.4,55.3,57.4,,48.9,55.3,,51.1,59.6
TeluguAndhraJyotiNewsClassification,test,default,62.8,78.7,79.2,81.5,77.1,72.7,42.8,,,48.5,,53.3,64.4
TenKGnadClassification,test,default,72.2,69.0,,77.3,68.9,66.9,50.0,,51.4,62.9,,64.7,65.9
TextualismToolDictionariesLegalBenchClassification,test,default,84.1,72.9,49.5,83.2,89.7,43.9,58.9,,80.4,76.6,,46.7,15.9
TextualismToolPlainLegalBenchClassification,test,default,57.0,47.9,52.1,50.3,47.9,49.1,62.4,,66.1,65.5,,60.6,63.0
ToxicChatClassification,test,default,83.4,73.5,75.4,80.4,75.5,73.7,77.3,,78.7,80.0,,61.1,67.6
ToxicConversationsClassification,test,default,63.9,64.3,66.0,67.8,63.6,63.2,63.3,,62.1,61.1,,60.1,65.6
TswanaNewsClassification,test,default,39.4,41.0,47.0,47.2,39.7,41.3,23.6,,,19.5,,18.6,19.8
TurkicClassification,train,ba,45.8,28.3,38.8,47.7,33.1,44.6,16.7,,,16.6,,35.5,32.5
TurkicClassification,train,kk,52.9,51.4,51.6,59.6,51.2,53.3,27.4,,,28.0,,49.5,56.3
TurkicClassification,train,ky,43.6,40.1,43.3,52.5,43.4,45.6,20.0,,,20.7,,40.9,45.6
TurkishMovieSentimentClassification,test,default,74.9,72.6,83.6,86.9,68.8,66.9,56.6,,,54.7,,70.0,75.9
TurkishProductSentimentClassification,test,default,64.0,63.4,65.7,71.1,59.8,59.3,52.9,,,52.0,,59.3,62.3
TweetEmotionClassification,train,default,55.7,50.9,55.8,58.2,48.5,45.9,27.8,,28.1,26.4,,38.5,48.6
TweetSarcasmClassification,test,default,55.5,61.4,63.5,67.0,66.1,59.6,60.1,,57.3,61.1,,54.1,51.2
TweetSentimentClassification,test,arabic,49.4,44.2,43.7,49.9,48.0,41.6,33.8,,,36.6,,42.8,45.5
TweetSentimentClassification,test,english,51.0,52.5,55.4,59.1,52.9,43.0,46.7,,,48.1,,46.4,52.1
TweetSentimentClassification,test,french,47.9,51.0,50.7,51.0,46.2,45.3,39.7,,,39.5,,44.8,48.4
TweetSentimentClassification,test,german,55.7,58.9,61.4,63.2,56.9,54.2,47.6,,,48.5,,49.7,54.2
TweetSentimentClassification,test,hindi,37.0,38.0,36.4,36.1,37.2,34.3,34.8,,,35.9,,34.9,35.2
TweetSentimentClassification,test,italian,53.8,51.8,52.1,58.7,48.0,48.8,47.0,,,47.8,,47.7,49.1
TweetSentimentClassification,test,portuguese,50.2,46.7,49.9,58.3,46.8,44.7,40.5,,,38.9,,43.4,48.0
TweetSentimentClassification,test,spanish,48.0,49.0,52.8,56.2,46.6,45.2,39.9,,,38.6,,44.9,49.6
TweetSentimentExtractionClassification,test,default,57.1,62.8,62.8,64.9,62.8,58.8,54.2,,54.0,55.0,,56.1,59.0
TweetTopicSingleClassification,test_2021,default,65.7,67.4,65.3,74.4,66.2,54.8,67.6,,67.8,69.0,,65.1,68.2
UCCVCommonLawLegalBenchClassification,test,default,59.6,53.2,55.3,55.3,52.1,60.6,67.0,,48.9,61.7,,52.1,59.6
UkrFormalityClassification,test,default,54.8,53.0,52.4,53.2,51.4,54.2,,51.5,,52.5,,52.8,53.4
UkrFormalityClassification,train,default,54.2,52.7,52.8,53.0,51.5,53.8,,51.3,,51.8,,51.6,52.1
UnfairTOSLegalBenchClassification,test,default,15.2,17.6,23.4,10.5,23.6,22.2,13.4,,12.7,26.9,,10.9,16.8
UrduRomanSentimentClassification,train,default,46.5,40.4,41.6,43.9,40.4,39.9,40.0,,,40.4,,37.7,38.4
VieStudentFeedbackClassification,test,default,72.3,75.8,75.9,73.8,74.1,69.0,54.4,,,52.4,,69.9,70.2
WRIMEClassification,test,default,28.9,27.9,28.3,33.4,25.2,27.8,21.7,,22.0,20.2,,27.2,29.8
Waimai,test,default,84.9,,86.3,86.5,84.1,82.8,63.5,,,63.3,,82.3,84.0
WisesightSentimentClassification,test,default,33.9,36.3,36.1,39.1,35.1,34.0,22.6,,,23.3,,32.2,34.7
YahooAnswersTopicsClassification,test,default,57.2,51.3,52.9,54.7,49.9,43.7,55.9,,54.6,56.2,,47.2,50.3
YelpReviewFullClassification,test,default,60.4,59.7,64.3,60.2,54.2,46.9,42.7,,43.6,47.6,,40.3,46.0
YueOpenriceReviewClassification,test,default,35.8,31.6,34.8,39.5,30.0,32.3,,23.0,,23.8,,29.2,31.2
